Comune,Rifiuti urbani,Raccolta differenziata
Torino,437804.7,208700.8
Vercelli,27711.7,19857.7
Novara,45366.9,33537.9
Biella,23310.1,18291.4
Cuneo,29685.9,21186.9
Verbania,22208.0,18089.9
Asti,38099.1,26446.3
Alessandria,53583.4,25883.1
Aosta,16315.3,11285.9
Imperia,19188.2,12828.3
Savona,33082.5,14484.2
Genova,283295.3,100617.5
La Spezia,45331.4,33943.4
Varese,40313.7,27980.9
Como,41954.5,30327.6
Lecco,23051.5,15102.4
Sondrio,10835.9,5935.4
Milano,707507.3,433403.9
Monza,53802.7,35219.5
Bergamo,62389.5,44519.6
Brescia,114250.0,82532.9
Pavia,40980.1,26709.6
Lodi,19959.6,15053.7
Cremona,37443.2,27887.3
Mantova,26347.9,21985.9
Bolzano - Bozen,55654.4,37279.3
Trento,56682.9,46785.0
Verona,136462.9,72229.9
Vicenza,70698.5,53760.1
Belluno,15361.7,12921.1
Treviso,40785.7,35447.0
Venezia,174810.8,107766.9
Padova,126056.3,72166.9
Rovigo,30864.0,19922.2
Pordenone,27133.5,23188.8
Udine,58647.1,37455.8
Gorizia,16571.0,10646.0
Trieste,98664.8,41642.3
Piacenza,77898.7,52520.4
Parma,114310.6,93328.2
Reggio nell'Emilia,119220.3,98790.1
Modena,129426.1,81373.7
Bologna,226101.0,122448.0
Ferrara,84211.2,72369.3
Ravenna,115906.1,68818.0
Forlì,64659.9,46812.8
Rimini,115060.6,78969.5
Massa,54573.0,16413.3
Lucca,59518.7,48215.1
Pistoia,54742.0,22011.0
Firenze,247659.3,133609.2
Prato,122361.7,90070.1
Livorno,81738.8,55899.9
Pisa,66877.2,41321.1
Arezzo,62545.0,28769.6
Siena,36560.6,15931.2
Grosseto,48833.4,20203.5
Perugia,95243.9,67699.1
Terni,50119.0,36640.7
Pesaro,63569.4,43112.0
Ancona,49798.5,28661.9
Macerata,19046.8,13647.6
Fermo,19012.3,11893.1
Ascoli Piceno,23188.5,15331.2
Viterbo,26916.8,15547.0
Rieti,25401.2,15009.6
Roma,1746295.8,820485.7
Latina,69242.2,19811.1
Frosinone,22424.8,15562.5
L'Aquila,34865.6,12817.8
Teramo,21307.6,13370.6
Pescara,69474.7,32623.7
Chieti,26638.2,17977.2
Isernia,9252.0,4926.0
Campobasso,21434.5,6124.1
Caserta,37560.2,18854.1
Benevento,25806.0,16028.1
Napoli,506079.0,183347.3
Avellino,22504.2,16047.1
Salerno,62443.4,37214.5
Foggia,75333.5,16920.6
Andria,42937.1,25212.3
Barletta,41076.6,28800.9
Trani,28621.2,6975.1
Bari,189358.4,81775.3
Taranto,107890.4,17290.0
Brindisi,41862.4,20142.5
Lecce,48310.7,31466.9
Potenza,25694.5,16528.4
Matera,28960.6,7032.6
Cosenza,28134.1,17242.2
Crotone,31168.9,3423.9
Catanzaro,37129.5,24869.5
Vibo Valentia,13755.9,7083.9
Reggio di Calabria,71254.5,33245.6
Trapani,30967.4,17821.8
Palermo,383636.8,66707.1
Messina,115604.7,21757.6
Agrigento,26938.3,18558.5
Caltanissetta,32683.0,13822.8
Enna,11688.4,6121.6
Catania,225739.2,32773.6
Ragusa,34078.0,23340.0
Siracusa,59946.0,12369.8
Sassari,60506.0,34545.0
Nuoro,13623.2,10133.3
Oristano,16430.4,12876.3
Cagliari,72649.6,46722.7
Carbonia,12540.8,9646.2
